Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
01/02/2026;;00000000000672;MULTIUSO BARRA CAMPESTRE 500ML;1,000;2,49;2,49;1,55;0,00;0,23;0,94;28,50;60,65;0,01;1,31;;;
01/02/2026;;00000000000673;MULTIUSO BARRA FRESH 500ML;1,000;2,49;2,49;1,55;0,00;0,23;0,94;28,50;60,65;0,01;1,32;;;
01/02/2026;;00000000000679;DESENT DIABO VERDE 300GR;1,000;25,49;25,49;15,18;0,00;2,36;10,31;31,20;67,92;0,09;1,41;;;
01/02/2026;;00000000000685;DET LIQ YPE COCO 500ML;11,000;25,19;2,29;22,44;0,00;2,33;2,75;1,67;12,25;0,02;1,44;;;
01/02/2026;;00000000000686;DET LIQ YPE NEUTRO 500ML;13,000;29,77;2,29;27,17;0,00;2,75;2,60;-0,52;9,57;0,02;1,46;;;
01/02/2026;;00000000000687;DET LIQ YPE LIMAO 500ML;7,000;16,03;2,29;14,63;0,00;1,48;1,40;-0,52;9,57;0,01;1,47;;;
01/02/2026;;00000000000688;DET LIQ YPE CLEAR 500ML;38,000;87,02;2,29;77,52;0,00;8,05;9,50;1,67;12,25;0,08;1,56;;;
01/02/2026;;00000000000690;DET LIQ YPE MACA 500ML;5,000;11,45;2,29;10,45;0,00;1,06;1,00;-0,52;9,57;0,01;1,56;;;
01/02/2026;;00000000000691;DET LIQ BARRA NEUTRO 500ML;1,000;1,99;1,99;1,22;0,00;0,18;0,77;29,44;63,11;0,01;1,57;;;
01/02/2026;;00000000000692;DET LIQ BARRA MACA 500ML;1,000;1,99;1,99;1,22;0,00;0,18;0,77;29,44;63,11;0,01;1,58;;;
01/02/2026;;00000000000693;DET LIQ BARRA CLEAR 500ML;2,000;3,98;1,99;2,44;0,00;0,37;1,54;29,44;63,11;0,01;1,59;;;
01/02/2026;;00000000000694;DET LIQ BARRA LIMAO 500ML;1,000;1,99;1,99;1,22;0,00;0,18;0,77;29,44;63,11;0,01;1,60;;;
01/02/2026;;00000000000700;DESINF BARRA PINHO 500ML;1,000;3,99;3,99;2,10;0,80;0,30;1,89;19,97;90,00;0,02;1,62;;;
01/02/2026;;00000000000717;AGUA SANITARIA BARRA 2L;6,000;35,94;5,99;20,94;0,00;3,32;15,00;32,49;71,63;0,13;1,75;;;
01/02/2026;;00000000000718;SB PASTOSO BARRA 500G;4,000;31,96;7,99;19,96;6,39;2,37;12,00;10,15;60,12;0,11;1,86;;;
01/02/2026;;00000000000774;AGUA SANITARIA CLORAL 1L;7,000;24,43;3,49;14,35;0,00;2,26;10,08;32,01;70,24;0,09;1,95;;;
01/02/2026;;00000000000775;AGUA SANITARIA BARRA 1L;6,000;19,14;3,19;11,94;0,00;1,77;7,20;28,37;60,30;0,06;2,01;;;
01/02/2026;;00000000000795;AMAC YPE TERNURA 2L;1,000;10,99;10,99;6,69;0,00;1,02;4,30;29,88;64,28;0,04;2,05;;;
01/02/2026;;00000000000807;SB COCO BARRA ECOCLEAN 100G;3,000;8,97;2,99;4,95;1,79;0,66;4,02;17,42;81,21;0,04;2,08;;;
01/02/2026;;00000000000813;SUCO SOJA ADES PESSEGO 1L;1,000;9,99;9,99;6,43;0,00;0,92;3,56;26,39;55,37;0,03;2,12;;;
01/02/2026;;00000000000814;SUCO SOJA ADES MACA 1L;1,000;9,99;9,99;6,43;0,00;0,92;3,56;26,39;55,37;0,03;2,15;;;
01/02/2026;;00000000000827;SUCO SOJA ADES MORANGO 1LT;1,000;9,99;9,99;6,43;0,00;0,92;3,56;26,39;55,37;0,03;2,18;;;
01/02/2026;;00000000000851;REFRESCO FRISCO LARANJA 18G;2,000;1,98;0,99;1,26;0,40;0,15;0,72;8,96;57,14;0,01;2,19;;;
01/02/2026;;00000000000865;ICE KOVAK TRADICIONAL 275ML;2,000;12,98;6,49;8,00;0,00;1,20;4,98;29,12;62,25;0,04;2,23;;;
01/02/2026;;00000000000866;ENERG RED BULL LT 250ML GL;1,000;11,99;11,99;7,98;0,00;0,00;4,01;33,44;50,25;0,04;2,27;;;
01/02/2026;;00000000000877;BEB LACTEA PIRAKIDS CHOC 200ML;20,000;29,80;1,49;21,00;5,96;0,00;8,80;9,53;41,90;0,08;2,34;;;
01/02/2026;;00000000000878;BEB LACTEA TODDYNHO 200ML;2,000;7,18;3,59;4,58;1,44;0,00;2,60;16,21;56,77;0,02;2,37;;;
01/02/2026;;00000000000881;AG PIRASSUNUNGA 51 965ML;1,000;20,99;20,99;11,23;4,20;1,55;9,76;19,10;86,91;0,09;2,45;;;
01/02/2026;;00000000000913;CR LEITE PIRACANJUBA TP 200G;62,000;163,68;2,64;132,68;0,00;0,00;31,00;18,94;23,36;0,28;2,73;;;
